,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
1581,3452218.001,03/02/2020,12/31/1899,GVT15          ,B,R,R,G98  ,79.4375,79  7/16,26,80.75,80 3/4,68-9683-40     ,3.5X16HOMESPUN II S BEACH -3,80,80,68-9113-40     ,3.5X16HOMESPUN II BEACH -3,,,FALSO
1986,3456694.001,02/29/2020,03/02/2020,GVT15          ,B,R,S,G98  ,114.1875,114  3/16,38,79.75,79 3/4,68-3973-40     ,3.5X16 FIBER WHITE -2,114.75,114 3/4,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
1275,3447697.009,02/28/2020,12/31/1899,BVT15          ,W,L,L,G85  ,28.75,28 3/4,10,36.5,36 1/2,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",29,29,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
333,3430047.005,02/26/2020,02/28/2020,GVT15          ,B,R,R,G71  ,89.5,89 1/2,29,90.625,90 5/8,68-9306-40     ,3.5X16CR DPLX WHT -2,,,,,,,FALSO
3017,3469621.005,03/02/2020,03/02/2020,BVT15          ,B,R,R,G98  ,65.4375,65  7/16,22,84.5,84 1/2,68-9681-40     ,3.5X16HOMESPUN II S IVORY -3,66,66,68-9111-40     ,3.5X16HOMESPUN II IVORY -3,,,FALSO
903,3442677.001,02/27/2020,12/31/1899,BVT15          ,W,R,R,G85  ,79.75,79 3/4,26,81.5,81 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,80,80,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
2175,3458783.001,03/02/2020,12/31/1899,SSVT15         ,B,R,S,G71  ,72.125,72 1/8,24,59.25,59 1/4,68-9306-40     ,3.5X16CR DPLX WHT -2,72.25,72 1/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
2186,3459111.001,03/02/2020,12/31/1899,BVT15          ,W,R,R,G98  ,61.8125,61 13/16,20,50.5,50 1/2,68-3972-40     ,3.5X16 FIBER BUTTERCREAM -2,62,62,68-3972-40     ,3.5X16 FIBER BUTTERCREAM -2,,,FALSO
3055,3470356.006,03/02/2020,12/31/1899,SSVT15         ,W,R,R,G85  ,92.75,92 3/4,30,91.5,91 1/2,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,93,93,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,FALSO
2525,3463053.002,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,34,34,11,56,56,68-3973-40     ,3.5X16 FIBER WHITE -2,34.25,34 1/4,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
2620,3464029.001,03/02/2020,12/31/1899,BVT15          ,B,R,S,G98  ,41.6875,41 11/16,14,54.75,54 3/4,68-6698-40     ,"'3.5""X16''GRGTOWN-S CPTOL HILL-2'",42.25,42 1/4,68-6498-40     ,"'3.5""X16''CRWN GRGTOWN CAPTLHL-2'",,,FALSO
2005,3456977.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,74.25,74 1/4,24,82.5,82 1/2,68-6700-40     ,"'3.5""X16''GRGTOWN-S SMITHSIAN-4'",76.125,76 1/8,68-6500-40     ,"'3.5""X16''CRWN GRGTOWN SMTHSAN-4'",,,FALSO
1170,3446014.002,02/28/2020,12/31/1899,BVT15LVR       ,,, ,G98  ,,,9,36,36,68-3130-40     ,3.5X16 CR ACOPOLIS OLYMPUS  -2,,,,,,,FALSO
2094,3457817.002,03/02/2020,12/31/1899,BVT15LVR       ,,,L,G98  ,,,14,95.625,95 5/8,68-6643-40     ,3.5X16 SAFARI S MOCCASIN -3,,,,,,,FALSO
1945,3456214.001,03/02/2020,12/31/1899,SSVT15         ,W,R,R,G85  ,67.25,67 1/4,22,79.5,79 1/2,68-3753-40     ,"'3.5""X16'' CR CORNTN ROYL COCH-4'",67.5,67 1/2,68-3753-40     ,"'3.5""X16'' CR CORNTN ROYL COCH-4'",,,FALSO
160,3418783.004,02/24/2020,02/28/2020,GVT15          ,B,L,L,G98  ,63.9375,63 15/16,21,54.75,54 3/4,68-3447-40     ,3.5X16 CR LTSCRN IVRY 40PRF -3,,,,,,,FALSO
1774,3454479.001,02/29/2020,12/31/1899,BVT15          ,B,L,S,G98  ,74.4375,74  7/16,24,59.5,59 1/2,68-3610-40     ,3.5X16 RAPTURE HEATHER -2,75,75,68-3610-40     ,3.5X16 RAPTURE HEATHER -2,,,FALSO
