WorkOrderNumber;DateCreated;DatePrinted;ProductNumber;ControlType;ControlPosition;StackPosition;HeadrailType;TrackWidthNumeric;TrackWidthFraction;LouverQty;FinalLouverLengthNumeric;FinalLouverLengthFraction;LouverComponentNumber;LouverComponentDesc;ValanceBaseWidthNumeric;ValanceBaseWidthFraction;ValanceInsert ComponentNumber;ValanceInsertComponentDesc
3463096.003;03/02/2020;12/31/1899;BVT15          ;B;L;S;G85  ;108.2500;108 1/4;36;77.0000;77;68-3974-40     ;3.5X16 FIBER MIDNIGHT -4;108.5000;108 1/2;68-3974-40     ;3.5X16 FIBER MIDNIGHT -4
3463096.004;03/02/2020;12/31/1899;BVT15          ;B;L;S;G85  ;72.2500;72 1/4;24;47.5000;47 1/2;68-3974-40     ;3.5X16 FIBER MIDNIGHT -4;72.5000;72 1/2;68-3974-40     ;3.5X16 FIBER MIDNIGHT -4
3463106.001;03/02/2020;12/31/1899;BVT15          ;B;L;L;G85  ;57.2500;57 1/4;19;47.0625;47 1/16;02434-13       ;3.5" CROSSWEAVE THATCHED ROOF;57.5000;57 1/2;02434-13       ;3.5" CROSSWEAVE THATCHED ROOF
3463108.001;03/02/2020;12/31/1899;BVT15          ;B;R;L;G85  ;57.2500;57 1/4;19;46.6875;46 11/16;02434-13       ;3.5" CROSSWEAVE THATCHED ROOF;57.5000;57 1/2;02434-13       ;3.5" CROSSWEAVE THATCHED ROOF
3463140.001;03/02/2020;12/31/1899;BVT15          ;B;R;L;G85  ;69.5000;69 1/2;23;92.0000;92;68-3412-40     ;3.5X16 BRUSSELS WHITE -1;69.7500;69 3/4;68-3412-40     ;3.5X16 BRUSSELS WHITE -1
3463145.001;03/02/2020;03/02/2020;BVT15          ;B;R;R;G98  ;94.3125;94 5/16;31;56.1250;56 1/8;02484-01       ;3.5 BRGHTN TUNDRA BULK;94.8750;94 7/8;02484-01       ;3.5 BRGHTN TUNDRA BULK
3463156.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;68.5000;68 1/2;22;80.1875;80 3/16;02484-01       ;3.5 BRGHTN TUNDRA BULK;68.7500;68 3/4;02484-01       ;3.5 BRGHTN TUNDRA BULK
3463164.001;03/02/2020;12/31/1899;BVT15          ;B;R;R;G98  ;78.4375;78 7/16;26;85.9375;85 15/16;02438-06       ;3.5" SHEFFIELD WEATHERED;79.0000;79;02438-06       ;3.5" SHEFFIELD WEATHERED
3463164.002;03/02/2020;12/31/1899;BVT15          ;B;L;S;G98  ;65.4375;65 7/16;22;64.9375;64 15/16;02438-06       ;3.5" SHEFFIELD WEATHERED;66.0000;66;02438-06       ;3.5" SHEFFIELD WEATHERED
3463164.003;03/02/2020;12/31/1899;BVT15          ;B;L;S;G98  ;89.4375;89 7/16;30;64.9375;64 15/16;02438-06       ;3.5" SHEFFIELD WEATHERED;90.0000;90;02438-06       ;3.5" SHEFFIELD WEATHERED
